ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2016,2016,0,Total,84442,16429,"Census Tract 111, San Francisco County, CA",14000US06075011100
2015,2015,0,Total,72500,17712,"Census Tract 111, San Francisco County, CA",14000US06075011100
2014,2014,0,Total,63346,12926,"Census Tract 111, San Francisco County, CA",14000US06075011100
2013,2013,0,Total,61904,6205,"Census Tract 111, San Francisco County, CA",14000US06075011100
2018,2018,0,Total,113214,21138,"Census Tract 112, San Francisco County, CA",14000US06075011200
2017,2017,0,Total,103750,15511,"Census Tract 112, San Francisco County, CA",14000US06075011200
2016,2016,0,Total,100139,16777,"Census Tract 112, San Francisco County, CA",14000US06075011200
2015,2015,0,Total,78690,28052,"Census Tract 112, San Francisco County, CA",14000US06075011200
2014,2014,0,Total,71172,23158,"Census Tract 112, San Francisco County, CA",14000US06075011200
2013,2013,0,Total,76714,12584,"Census Tract 112, San Francisco County, CA",14000US06075011200
2018,2018,0,Total,37991,22110,"Census Tract 113, San Francisco County, CA",14000US06075011300
2017,2017,0,Total,37159,17728,"Census Tract 113, San Francisco County, CA",14000US06075011300
2016,2016,0,Total,24426,17088,"Census Tract 113, San Francisco County, CA",14000US06075011300
2015,2015,0,Total,24781,11750,"Census Tract 113, San Francisco County, CA",14000US06075011300
2014,2014,0,Total,25904,11834,"Census Tract 113, San Francisco County, CA",14000US06075011300
2013,2013,0,Total,23261,4989,"Census Tract 113, San Francisco County, CA",14000US06075011300
2018,2018,0,Total,63958,12407,"Census Tract 117, San Francisco County, CA",14000US06075011700
2017,2017,0,Total,52371,15952,"Census Tract 117, San Francisco County, CA",14000US06075011700
2016,2016,0,Total,50223,9974,"Census Tract 117, San Francisco County, CA",14000US06075011700
2015,2015,0,Total,34914,11100,"Census Tract 117, San Francisco County, CA",14000US06075011700
2014,2014,0,Total,37455,19915,"Census Tract 117, San Francisco County, CA",14000US06075011700
2013,2013,0,Total,33613,9396,"Census Tract 117, San Francisco County, CA",14000US06075011700
2018,2018,0,Total,29338,9515,"Census Tract 118, San Francisco County, CA",14000US06075011800
2017,2017,0,Total,23512,7005,"Census Tract 118, San Francisco County, CA",14000US06075011800
2016,2016,0,Total,20800,3042,"Census Tract 118, San Francisco County, CA",14000US06075011800
2015,2015,0,Total,20478,3024,"Census Tract 118, San Francisco County, CA",14000US06075011800
2014,2014,0,Total,20547,6023,"Census Tract 118, San Francisco County, CA",14000US06075011800
2013,2013,0,Total,25753,2573,"Census Tract 118, San Francisco County, CA",14000US06075011800
2018,2018,0,Total,97109,15037,"Census Tract 119.01, San Francisco County, CA",14000US06075011901
2017,2017,0,Total,72038,13733,"Census Tract 119.01, San Francisco County, CA",14000US06075011901
2016,2016,0,Total,72364,17240,"Census Tract 119.01, San Francisco County, CA",14000US06075011901
2015,2015,0,Total,59981,17478,"Census Tract 119.01, San Francisco County, CA",14000US06075011901
2014,2014,0,Total,58641,10621,"Census Tract 119.01, San Francisco County, CA",14000US06075011901
2013,2013,0,Total,58685,6075,"Census Tract 119.01, San Francisco County, CA",14000US06075011901
2018,2018,0,Total,84167,13424,"Census Tract 119.02, San Francisco County, CA",14000US06075011902
2017,2017,0,Total,84735,14324,"Census Tract 119.02, San Francisco County, CA",14000US06075011902
2016,2016,0,Total,74077,14031,"Census Tract 119.02, San Francisco County, CA",14000US06075011902
2015,2015,0,Total,66352,11308,"Census Tract 119.02, San Francisco County, CA",14000US06075011902
2014,2014,0,Total,58657,12358,"Census Tract 119.02, San Francisco County, CA",14000US06075011902
