cluster_size,mean,var_latitude,var_longitude,cov
27,"(37.72888539483909, -122.4229291410387)",1.6043689627299985e-06,1.4839787357504735e-06,-7.687919031789096e-07
27,"(37.79315014567618, -122.4142683059903)",5.093874962435802e-07,2.8889852178616334e-07,-4.735294726786278e-08
27,"(37.784623289387696, -122.46326774913138)",6.680411361593325e-07,2.0974872391766663e-06,2.5251381795697915e-07
27,"(37.752081830127196, -122.44468026815068)",1.4237018083390885e-06,1.2668610732357096e-06,1.5603368794554426e-07
27,"(37.759284355480254, -122.46332878421214)",1.004195313909128e-06,1.0797111810376144e-06,1.8899898567575153e-08
26,"(37.786648280695594, -122.38887213247105)",1.6604595858686565e-07,6.53953504858307e-07,3.161120439249057e-07
26,"(37.711446033433674, -122.4385517612462)",1.3430884127763057e-06,1.4519844398881602e-06,-9.616726597136795e-09
26,"(37.73097929067678, -122.44801111356173)",1.408666347540143e-06,2.0420420005797203e-06,1.0283277448359074e-06
26,"(37.767242139367696, -122.41553552021293)",4.5877049334966675e-07,4.477048836167611e-07,3.4745709018555855e-07
26,"(37.773215539215734, -122.47637526149924)",4.3953062236208043e-07,3.216780045946348e-06,-3.0933286799848964e-07
26,"(37.71790648476607, -122.48202491916489)",5.776793730671274e-07,6.467915751106937e-07,2.141116716871983e-07
26,"(37.79534769412011, -122.41986102381885)",2.439147425529592e-07,1.3678082225997714e-06,3.063001338000225e-07
26,"(37.76106449373135, -122.44507291733792)",7.099233031515493e-07,2.144075713170785e-06,-2.1787136088859038e-07
26,"(37.77507596005672, -122.51129492624526)",0.0,7.560947786617518e-27,0.0
26,"(37.75996578416226, -122.50816762791956)",5.451398012243447e-07,1.0714784980266974e-06,-1.989628857008162e-07
25,"(37.77295870328927, -122.3916603177788)",4.1314443806713245e-07,5.694005600797091e-07,1.3918124903578697e-07
25,"(37.745896353324646, -122.39057385179294)",5.100883813428767e-07,5.413827496568515e-07,-4.6983719277658374e-07
25,"(37.76050089489018, -122.3960567168917)",3.986720540683238e-07,1.5947272675244003e-06,8.32993449517039e-08
25,"(37.71499032042409, -122.47264167684081)",4.351453485990318e-07,1.8797422265703264e-06,5.609487197985886e-07
25,"(37.7435347038158, -122.43213539370156)",1.3473590684113755e-06,1.32681228358292e-06,-4.0869190532144516e-07
25,"(37.71853514949451, -122.43308876518807)",9.905759988771872e-07,1.481699575093944e-06,-1.744084756796259e-07
25,"(37.802550070006326, -122.41811583944563)",6.58110036147771e-07,1.2800435861937028e-06,4.7409845495310984e-07
25,"(37.776891103090655, -122.40009037150237)",1.431297837054958e-07,1.539577837255542e-06,-1.4497780747286404e-07
25,"(37.74572067599995, -122.4016150397805)",1.7935396296710275e-07,5.590056330258933e-07,-3.1663839881500136e-07
24,"(37.784693844992354, -122.4816197820598)",1.4887288757871416e-06,1.4781478618543458e-06,-5.474842418904119e-07
24,"(37.729754672283846, -122.41957174536795)",2.1075619242968388e-06,1.03207296327119e-06,-8.580085103960639e-07
24,"(37.74161426721101, -122.46829818519517)",2.0722445353892863e-06,2.8951535272429883e-06,-8.71724760078365e-07
24,"(37.71454769597468, -122.40657293244193)",2.4904875272594698e-06,1.0247974327031707e-06,-8.812876426187584e-08
24,"(37.7107987682039, -122.39585593967702)",5.067415897429799e-07,5.038875075208521e-06,-4.734783550871923e-07
24,"(37.75247829538135, -122.39373621746715)",2.8120683486476268e-09,7.675730628937043e-07,4.645931460038895e-08
24,"(37.786694348567735, -122.4385307365619)",8.341621907647614e-07,1.3337896948386822e-06,2.354013403782325e-08
24,"(37.75114700221257, -122.40143804327847)",5.044876072092536e-07,4.744701711206871e-07,3.0011982737742695e-07
24,"(37.713905551174186, -122.46288183630185)",3.43962193256425e-06,2.206400009452695e-07,-7.988343989243332e-08
24,"(37.72456616333576, -122.43932748497804)",7.159204811147106e-07,7.908820474785417e-07,1.0176968405859875e-07
23,"(37.80068289563123, -122.41570551241351)",4.244410947448374e-07,1.11027129868437e-06,2.806631735937695e-08
23,"(37.757433581495164, -122.40131570694682)",2.5642435374490224e-07,1.5311888640351998e-06,-2.3814847744834352e-08
23,"(37.78301140549344, -122.46825331992314)",1.1319177273431173e-06,1.673088336002146e-06,6.200092490980645e-07
23,"(37.79206014398907, -122.40138220424443)",8.104716600269628e-07,7.923009854251124e-07,-2.8416235152352478e-08
23,"(37.797913700473316, -122.42671144720231)",9.333956937621212e-07,9.788550529093992e-07,3.200768482832756e-07
23,"(37.75227760687223, -122.41781711280635)",4.683100403950795e-09,1.255959586942308e-06,7.668843939700737e-08
23,"(37.729593413419536, -122.40179695146699)",1.1865154321087017e-06,7.581863483335693e-07,-4.336556258105118e-07
23,"(37.73057076656903, -122.37773905944653)",6.585219589822014e-07,1.3939369896690935e-06,8.795439438581879e-08
23,"(37.753556580032026, -122.46599723444514)",3.0265634044377748e-06,9.092051811958841e-07,5.079002819562437e-07
23,"(37.78407818111519, -122.3991005573635)",2.627429192305688e-07,5.136482874989212e-07,-2.0642744314088502e-07
23,"(37.71256500808596, -122.45646517902019)",1.525652809113037e-06,1.5468101233681283e-06,-3.225992960966294e-07
22,"(37.7747159249237, -122.4590025099802)",3.896148756977358e-07,8.812368364075274e-07,8.431198408328902e-08
22,"(37.72988813881549, -122.40980971199666)",2.261652372113817e-06,4.701084956655356e-07,1.2425614558294692e-07
22,"(37.741748009069426, -122.40083727078307)",3.699142624934836e-07,3.089836520767068e-07,3.3807907326614886e-07
22,"(37.743206370866886, -122.42754791812027)",9.558721551134126e-07,9.434756196555632e-07,4.202967743753455e-07
22,"(37.74459355579928, -122.48122313800788)",1.119394238672215e-06,9.865662873768911e-07,-4.235333859349789e-07
22,"(37.76467686891957, -122.4270286223471)",5.82986974339795e-07,1.5620906364255957e-06,6.43639015812765e-07
22,"(37.71448646819993, -122.44757985726413)",4.681779361919082e-07,1.8861462543762786e-06,4.509965603194715e-07
22,"(37.76372977562612, -122.47797567326093)",2.1028352897202148e-06,1.176868239495498e-06,-3.405134366789482e-08
22,"(37.73315838179255, -122.3989227324123)",3.579048248310936e-07,1.941887638650621e-06,4.3784037379857296e-07
22,"(37.71333695720196, -122.44327762999178)",1.7647850557057416e-06,1.1051635174276317e-06,2.8453235652766087e-09
22,"(37.735372325839016, -122.40039268963442)",9.914818053174477e-08,2.5266680815579254e-06,-2.5328260838942667e-07
21,"(37.728199718048614, -122.37192178496458)",6.230635099732153e-07,1.1824796356366596e-06,-3.1638243396887886e-07
21,"(37.75363123456121, -122.42950567952754)",1.76365187790803e-06,9.284622201388102e-07,-2.907004532642466e-07
21,"(37.74238319843372, -122.383873807016)",8.915458323145082e-07,2.5289522013100007e-07,4.737674062249546e-07
21,"(37.778883996710235, -122.4647949594538)",3.03434045156187e-07,1.4491460025675886e-06,-8.066470876775483e-08
21,"(37.77674504254192, -122.39423193746981)",5.515917016609371e-07,4.7123402431393985e-07,-2.765964596171918e-07
21,"(37.79084170749311, -122.39385332048775)",5.1373071613805e-07,6.842214968722455e-07,-1.2231972445773706e-07
21,"(37.80120664349655, -122.40450335630281)",5.035756869571288e-07,9.14912319576792e-07,3.391815352359534e-08
20,"(37.7520244281166, -122.42198238178109)",5.340311910090733e-07,8.878111122224012e-07,5.018997958458555e-07
20,"(37.77359388071353, -122.48431916579393)",9.186779684483242e-07,2.3461760410048098e-06,9.970539704552407e-08
20,"(37.77700686684013, -122.50616966409356)",1.9127205108854734e-06,1.2653412210864894e-06,6.411043481466548e-07
20,"(37.78173241735357, -122.4503831280419)",3.7221194659836656e-07,9.528719110604387e-07,-6.273769707648904e-09
20,"(37.7618496693384, -122.48845121965394)",1.8590157388650074e-06,1.1349770870996606e-06,-9.781255976368868e-07
20,"(37.721696054848586, -122.46479625067509)",6.764528799839963e-07,2.5836138690220643e-06,6.962763236597973e-07
20,"(37.777442416098324, -122.46762223993957)",5.432355584400483e-07,2.6428632015812107e-06,-4.051116075037417e-07
20,"(37.74972794570501, -122.38700314699909)",4.060281347819645e-07,1.358143534886764e-06,-5.661748595941374e-08
20,"(37.73394681584076, -122.43375056424074)",2.408213405945449e-07,3.4487939300696296e-06,-2.7136413962176405e-07
20,"(37.76366308847423, -122.4524778572603)",6.377730912273371e-07,2.7949165958654532e-06,-6.422455800041727e-07
20,"(37.77326406646941, -122.4456876495683)",1.7330627517055852e-07,9.768714634473838e-07,2.2984737918870542e-08
20,"(37.760761933540465, -122.4940201855591)",1.0868636172369754e-06,1.6538410754016662e-06,2.2995212641728898e-07
19,"(37.72888827717277, -122.44324966650322)",6.210328917166235e-07,1.42886057312287e-06,8.483042357415907e-08
19,"(37.71456609131524, -122.46710091467394)",4.67582638580722e-07,2.613556551267683e-06,-2.7020604102470527e-07
19,"(37.782419217182735, -122.47376214542187)",1.8018197095738436e-07,1.9495636980046644e-06,-1.3048375346229269e-07
